project_id,is_blue_ccs,log_capacity_mw,region,sponsor_type,sponsor_owner,tech,year_announced,duration,event_any,event_type
676,1,0.0,Other_Europe,Other,Kellas Midstream Limited,Blue_CCS,2022.0,4,0,0
677,1,0.0,Other_Europe,Other,Kellas Midstream Limited,Blue_CCS,2019.0,7,0,0
678,1,0.0,Other_Europe,Other,Uniper SE,Blue_CCS,2022.0,4,0,0
679,1,6.398594934535208,Other_Europe,Oil_major,BP p.l.c.,Blue_CCS,2021.0,2,1,1
680,0,3.044522437723423,Other_Europe,Unknown,Unknown,PEM,2021.0,2,1,2
681,0,1.3862943611198906,Other_Europe,Unknown,Unknown,PEM,2020.0,6,0,0
682,0,3.044522437723423,Other_Europe,Other,Carlton Power Limited,PEM,2021.0,5,0,0
683,0,0.019802627296179712,Other_Europe,Unknown,Unknown,PEM,2017.0,9,0,0
684,0,0.019802627296179712,Other_Europe,Unknown,Unknown,PEM,2015.0,11,0,0
685,1,0.0,Other_Europe,Utility,RWE AG,Blue_CCS,2021.0,5,0,0
686,0,2.9014215940827497,Other_Europe,Unknown,Unknown,PEM,2021.0,5,0,0
687,0,3.044522437723423,Other_Europe,Unknown,Unknown,PEM,2021.0,5,0,0
688,0,0.0295588022415444,Other_Europe,Unknown,Unknown,PEM,2021.0,5,0,0
689,0,0.039220713153281295,Other_Europe,Unknown,Unknown,PEM,2020.0,6,0,0
